client_id,age,income,years_employed,credit_score,debt_to_income,num_credit_cards,num_late_payments,has_mortgage,has_car_loan,savings_balance,checking_balance,region_risk_score,phone_calls_to_support_last_3m,active_loans,customer_tenure_years,default
40,51,40463,26,551,0.2544206049231639,5,10,1,1,20071,-458,0.6784604107443192,19,2,1,1
41,29,55842,21,761,0.25557774560285085,1,0,1,1,27022,9334,0.48144272557861334,14,4,13,0
42,58,54384,30,645,0.3547984827296009,7,2,1,1,1439,5189,0.3463981494803951,2,0,4,0
43,55,103128,2,783,0.06844286033077579,1,9,1,1,49387,3582,0.42232958089388767,12,1,3,0
44,38,78257,20,735,0.203692877699615,5,5,1,0,9305,5672,0.658370788735589,14,3,7,0
45,24,64706,17,594,0.11866450626538533,4,5,1,0,24028,10258,0.418501303003864,16,3,0,1
46,68,82467,36,644,0.21836924272761976,0,13,1,0,23603,-3000,0.5770586359881483,12,0,6,0
47,42,17320,2,658,0.32413021823809096,6,1,0,1,21280,2543,0.23443578699593118,11,0,0,0
48,64,68921,25,756,0.299827875819074,0,7,1,0,13485,9778,0.15499780086000287,17,3,10,0
49,54,119937,7,680,0.5748492044415168,4,4,0,0,23619,6737,0.6454899218185438,5,1,12,0
50,59,73308,35,662,0.4210369233217316,6,0,0,1,46360,-2884,0.6817938040018074,19,0,9,0
51,58,71697,34,636,0.03313340512988434,1,5,0,0,54214,-3000,0.5439254185562985,4,4,2,0
52,30,83703,9,646,0.32892744372963906,2,6,0,1,17372,16906,0.08230854389138861,16,3,12,0
53,38,92390,34,741,0.5082218009520202,4,6,1,0,13258,3690,0.22924920946849853,19,2,9,0
54,43,20063,19,650,0.38006752822529705,7,2,0,0,7868,15598,0.6621656206940024,5,2,12,0
55,45,27941,38,622,0.4747322819998906,3,10,0,0,60292,10564,0.24003924235684998,13,4,13,1
56,23,75257,29,610,0.3707886279408423,0,5,0,1,21932,-555,0.5384549194633115,16,3,5,1
57,47,52128,1,611,0.46797936685216407,1,8,0,1,36725,-3000,0.7155277819714032,5,2,14,1
58,28,102800,8,551,0.31886149959151094,1,8,1,1,30449,1764,0.04806521342169957,10,2,12,1
59,57,62120,16,597,0.3078005177914541,6,8,1,0,53126,4739,0.24310859250835054,16,2,8,0
60,54,21636,8,754,0.379804558372128,6,7,0,1,16284,8154,0.2667195123583978,13,1,9,0
61,66,38299,5,635,0.18614030129980963,3,4,1,0,3393,-2776,0.3392629951618241,16,2,6,0
62,57,15000,39,699,0.15009074211235984,6,7,1,0,47891,6246,0.2624699323979707,5,3,12,0
63,38,64146,34,476,0.29012303414177726,7,7,0,0,33549,6243,0.32172777643588696,10,3,0,0
64,68,65290,17,689,0.2042497368918171,6,0,0,0,26844,11901,0.6118026898274624,16,1,6,0
65,41,59388,8,638,0.4704611224295312,0,10,1,0,43027,2852,0.6243737444471019,4,4,1,1
66,36,96971,7,616,0.6069404578920043,0,6,1,1,27699,8099,0.5491311871882811,8,1,0,1
67,65,99962,36,662,0.1260562137348803,5,4,0,0,43548,7019,0.44687719267905796,10,3,14,0
68,39,65740,13,615,0.04074480918597315,3,0,0,0,23698,11129,0.5537445717820911,16,2,9,0
69,24,16632,0,501,0.125007033165925,1,4,0,0,33529,-739,0.8477023165946256,15,4,6,0
70,44,85432,15,714,0.18155493043299342,5,6,1,0,27895,-3000,0.6953015030927632,8,3,14,1
71,59,83884,18,667,0.5628422804709456,2,12,1,1,15120,3341,0.6831284002246214,19,3,1,1
72,30,77734,24,628,0.49010497221182003,7,9,0,0,16919,3383,0.8435070284461699,12,3,13,1
73,43,94536,13,582,0.10894758336559121,4,6,1,0,14107,-3000,0.6923102312585749,12,0,7,0
74,27,40879,36,547,0.4311178824223338,1,1,1,1,23982,-3000,0.5720599624350503,2,4,2,1
75,54,120218,25,665,0.19278074066714426,7,4,0,1,13162,977,0.19642177632594343,4,3,4,0
76,44,46014,39,762,0.18791856091687548,4,13,1,0,26538,4195,0.14560980067267568,1,0,7,0
77,37,88730,14,664,0.1765917709656768,2,1,0,0,26028,5667,0.3317119583901743,0,1,12,0
78,32,27816,26,553,0.28079620266981126,1,9,1,1,23077,-3000,0.6116540197910182,19,0,13,1
79,48,46743,14,665,0.3545059054504649,4,7,1,1,23337,-3000,0.5797450183973158,5,0,1,0
80,53,107909,27,646,0.2833313738688373,5,3,1,1,11507,12906,0.3399693890330717,14,2,6,0
81,67,63477,29,710,0.20453254500987011,6,13,1,1,15770,3672,0.18016538075189478,10,3,6,1
82,42,90998,12,692,0.7436724674741001,1,5,1,1,0,4982,0.22443036820639253,3,3,7,1
83,28,75923,37,440,0.5250541451448095,3,9,1,0,18201,-3000,0.6280973305020814,16,4,8,1
84,61,67376,34,688,0.4731300010610467,7,1,1,1,5212,4969,0.2447289691223559,11,0,14,0
85,51,104096,35,579,0.43521119835255667,5,14,1,1,21497,2370,0.4207508534399759,15,3,4,1
86,55,64083,8,550,0.25776655733677084,0,0,0,1,9282,670,0.21133595685845205,15,1,7,0
87,25,25481,28,636,0.20115175621183323,7,4,1,1,0,-3000,0.3899784172473246,16,0,4,0
88,36,49918,4,678,0.5513359506408874,5,13,1,1,53786,-1079,0.2525099166989462,11,4,2,1
89,58,83779,4,535,0.3857397582622571,3,9,1,0,16528,18804,0.5817121040504889,3,0,5,0
90,61,79887,38,699,0.049943767932537166,6,10,0,1,41705,2553,0.43991689285975194,8,1,0,0
91,42,30823,6,703,0.12337820763522737,5,4,0,1,12095,10527,0.22415490770464197,14,2,11,0
92,60,51891,34,653,0.4984275052031665,2,11,0,1,45471,3625,0.5935160933075646,16,1,6,1
93,62,55456,17,589,0.2278530115392703,6,13,0,0,2724,2815,0.10634786026989336,10,0,6,0
94,39,60863,12,581,0.4643612359732406,2,9,0,1,22640,547,0.682202359081656,1,1,7,1
95,65,35602,2,721,0.24963276640369605,1,3,0,1,3615,14419,0.47003700167099133,19,3,7,0
96,35,54290,27,544,0.3830636085753368,4,13,0,0,59011,7611,0.4221304420450773,12,0,13,1
97,32,51784,28,724,0.1661926161493903,0,0,0,0,16261,-527,0.48837064050655526,11,0,8,0
98,54,89288,18,638,0.3515327672358562,5,13,0,1,32426,2241,0.21717313512724082,9,1,11,0
99,52,90228,32,643,0.05920236192368741,4,0,1,0,26758,12531,0.34900721676246427,8,4,12,0
100,27,66354,12,530,0.4723407251495017,5,0,1,1,19617,-3000,0.24459582175778535,12,0,0,0
101,61,60199,22,639,0.3760114408509201,1,0,1,1,27765,7173,0.16509138388793554,12,3,12,1
102,30,73498,11,692,0.41237559913949484,4,2,1,1,40387,8763,0.12597868040165,5,1,12,0
103,60,49585,23,556,0.12567216643161522,3,10,1,0,30023,-248,0.18580380581689324,7,2,9,1
104,21,41329,5,684,0.35835646222527734,1,5,1,0,22436,6082,0.3137192387522606,3,1,1,0
105,60,46494,19,656,0.2395640190210905,3,1,1,0,27789,8516,0.4897115368417514,6,4,0,0
106,59,54129,21,604,0.1504264673979908,7,5,0,0,48725,-3000,0.37782558151916396,19,2,0,0
107,59,40913,22,709,0.32973356408278354,6,14,1,1,13747,10893,0.6438766105960391,5,0,10,1
108,53,74051,17,495,0.12440022563934963,1,7,1,1,0,7081,0.5454441589124152,17,1,8,1
109,44,88242,25,674,0.23460587699351956,6,10,1,0,3552,3929,0.5552354527334021,8,1,5,1
110,55,30322,20,763,0.03951349715539094,4,3,0,1,4668,5734,0.17756087443924665,18,4,7,0
111,34,70628,11,750,0.4788729104240685,0,7,0,1,6780,9950,0.6792152180342484,11,0,6,1
112,59,64501,8,677,0.25517767663050234,7,11,0,0,7296,21212,0.524377918290096,15,1,4,1
113,48,78537,25,628,0.21724725518404983,4,10,1,0,19646,9269,0.15480335594647843,7,0,11,0
114,43,69676,37,605,0.33447356072086754,7,0,0,1,23711,10674,0.3476938941490558,1,0,6,1
115,45,33660,30,628,0.4552900684957849,0,9,0,1,23550,6354,0.6201281920138517,7,4,8,1
116,48,38440,25,688,0.10718207884031851,1,11,1,1,9045,18311,0.09163544163071151,12,3,13,0
117,22,70735,36,593,0.39499794339108324,7,2,0,0,34908,-3000,0.5202572127162978,4,4,13,0
118,27,95719,35,703,0.13256310944594446,1,5,1,0,28016,-3000,0.413173319796383,7,4,10,0
119,33,15000,20,799,0.33153616850258016,4,9,0,0,43719,6071,0.5233879398574222,0,4,13,0
120,26,78643,4,645,0.11072937076354403,4,0,0,1,32701,9620,0.49656524127126933,6,2,5,0
121,42,99740,25,555,0.061642765721612355,7,10,0,0,14757,-3000,0.10849156509535035,1,2,5,0
122,53,66174,24,555,0.1172317530234234,2,12,0,0,39582,4975,0.704307646196538,4,1,14,0
123,53,83755,11,704,0.1609710511796094,6,7,0,1,24103,3736,0.45367510287679746,7,0,13,1
124,44,52423,33,645,0.3689916254264021,5,6,0,0,31969,10209,0.5368934917407969,3,4,2,1
125,62,67015,34,711,0.21206247521473545,5,1,1,1,30806,8001,0.11793349417370591,1,1,0,0
126,48,29477,13,612,0.4095538860997781,4,10,0,0,18135,-3000,0.3210109926660228,2,3,2,1
127,24,15000,19,708,0.1972253800235591,0,14,0,0,21549,-2560,0.1673469128369221,13,4,11,0
128,58,93569,7,638,0.1795316268292681,2,13,1,0,18029,-647,0.7333459310099437,2,1,3,1
129,49,45375,7,598,0.4705537419372243,4,8,1,1,7205,10172,0.649509555849332,0,0,14,1
130,52,58611,10,621,0.07816855115561164,3,0,1,1,0,7622,0.2349016442965213,14,1,3,0
131,48,35338,14,566,0.25708790326672776,1,4,1,1,9592,654,0.5305598145001176,9,4,2,1
132,48,34750,10,789,0.14303663327419844,5,3,1,0,22987,6011,0.12088496615911525,18,0,1,0
133,25,65654,6,643,0.3068809216519683,3,0,0,1,36283,-2406,0.24880957854037997,7,1,14,0
134,48,51760,17,695,0.47633558381707886,6,1,1,1,31939,19347,0.6076720974411961,7,0,4,0
135,59,79449,24,612,0.33951927027715867,4,8,0,0,15805,9020,0.06918063919759337,0,3,12,0
136,35,81313,13,576,0.18229412406416706,2,1,0,1,9797,10503,0.35007786752095116,2,0,8,0
137,50,78021,21,633,0.07945789905146355,0,0,1,0,17301,14637,0.38427985113855484,16,1,2,0
138,22,75965,10,727,0.2574158497674445,0,14,1,0,5374,12113,0.6453373136414075,4,1,3,1
139,38,109444,28,613,0.4543581368836427,4,9,1,1,0,5220,0.2228541254344752,1,0,1,0
140,42,43310,25,589,0.23750850821275138,2,12,1,1,0,3705,0.8367025686737704,14,4,1,1
141,69,68626,38,660,0.21653773075981836,5,3,0,1,40621,14017,0.4085659608797373,19,1,12,0
142,31,98317,2,684,0.2514363486266864,5,5,0,0,47859,5185,0.1514938550060801,6,4,9,0
143,34,101613,34,764,0.5001587831696954,2,9,0,0,31309,-243,0.021172002979288018,7,2,2,0
144,41,34455,13,674,0.08129834340198362,6,10,1,1,19127,18766,0.5493434264281029,13,0,6,0
145,69,62191,2,695,0.42616782073493115,4,5,0,1,0,-1551,0.3636995570693437,2,0,3,0
146,62,103953,27,700,0.5643017598379273,7,13,0,1,17583,-3000,0.09441286756155787,4,0,9,0
147,22,82701,6,569,0.6120273290881078,7,10,0,1,29177,11949,0.5174999721356953,17,1,1,1
148,32,74881,7,582,0.31867676563494596,7,3,1,1,32448,-118,0.28222794109831156,15,2,3,1
149,61,64557,39,574,0.16622108221736573,1,1,0,1,30332,8045,0.5326568260887705,2,0,10,1
150,23,60404,8,556,0.46774841460299427,4,0,1,0,38143,17720,0.19824777504784977,13,1,11,0
151,62,77205,21,705,0.18075117226989035,0,12,1,0,49144,-3000,0.4060649122371018,19,0,14,0
152,34,63690,8,670,0.0197489853386903,7,12,1,1,13924,4713,0.42504179213920834,4,4,14,1
153,65,68935,4,655,0.3208475983330259,5,7,0,1,62079,15383,0.42566611688985745,4,1,10,1
154,35,71964,0,468,0.22240928054868322,2,10,1,1,0,9773,0.4601864231066678,18,4,3,1
155,42,53048,0,793,0.6294616689170532,4,13,1,1,8325,3741,0.4184364603067161,19,1,12,1
156,53,83303,18,587,0.13013303232348922,4,2,1,0,23000,21725,0.4304502145588424,10,2,9,0
157,27,142856,17,793,0.15779724752735738,4,14,0,1,28235,4332,0.2453402340780471,9,2,14,1
158,48,25575,1,548,0.602134808347755,4,7,0,1,17275,7778,0.1413396520905107,4,0,11,1
159,45,78100,13,593,0.23561907054607165,7,6,1,1,12563,16545,0.1198851720165088,1,3,12,0
160,59,50995,10,495,0.3506915416262932,6,2,1,0,53038,11866,0.6387782990781466,11,4,8,1
161,69,84435,22,675,0.4644237885733534,3,10,0,0,11847,14252,0.19043561204697412,3,4,12,0
162,53,71163,39,572,0.15201250166449243,6,9,1,0,4709,-1296,0.17022268577907165,8,2,4,0
163,41,89046,27,574,0.3574479685810016,1,0,0,0,45362,13597,0.9617329449691724,18,3,1,1
164,40,99387,36,553,0.2281685973944332,2,9,1,0,32737,6187,0.4782082170201198,18,2,3,1
165,41,74810,7,704,0.2840404019842641,0,2,0,0,36420,-220,0.7270065259475281,9,0,8,0
166,60,98301,8,699,0.4224125443175067,7,4,1,0,22938,6553,0.4136363483393985,6,3,9,0
167,36,15000,30,776,0.2662322691596202,0,9,0,1,0,6331,0.07470979014368347,19,2,7,0
168,29,109761,12,602,0.38304310615929565,7,11,0,1,21269,18076,0.03712448730489942,17,1,7,1
169,37,79376,33,665,0.35221925037895824,6,2,1,0,0,7669,0.6407370301350646,12,0,2,0
170,22,96946,18,559,0.2819178506214718,7,7,0,0,23634,-465,0.145432882947333,14,1,12,0
171,26,39503,8,626,0.18899758971146985,6,4,0,1,29801,-2079,0.2960782033690905,8,2,3,0
172,25,49230,33,613,0.31082755444579824,3,10,1,0,36131,4668,0.33989070529448767,13,3,1,0
173,58,73648,22,682,0.2695796966485079,6,12,0,0,18614,-3000,0.5861460615261872,11,1,2,1
174,56,69574,32,721,0.25333762378235053,7,9,1,0,31221,-7,0.403661536635519,3,0,0,0
175,55,77076,18,719,0.38520000458417974,7,11,0,1,6442,3290,0.20895672056695982,1,1,14,0
176,43,97112,5,591,0.36794851638120335,6,6,1,0,34499,2046,0.2198149686146972,1,0,5,1
177,56,25869,27,719,0.2638751108836034,6,8,1,1,30118,10088,0.08150552264301437,15,2,11,0
178,28,94345,4,646,0.15537926880415068,5,4,0,1,7996,-164,0.7585471310383648,17,2,7,0
179,65,70207,26,627,0.2589031066086031,7,14,0,0,27955,-3000,0.38916882977118994,10,3,13,1
180,45,64905,16,600,0.4783126415375124,3,3,0,1,36345,-3000,0.04970715521078722,11,0,9,0
181,66,33222,31,610,0.3516003969945784,4,13,1,1,21179,4875,0.5092934549159663,18,3,3,1
182,28,82576,34,771,0.4765055961434757,6,11,1,0,7662,892,0.318013560649169,19,3,1,1
183,45,15000,16,671,0.6930461415184365,2,14,0,1,22666,-3000,0.8153582858125759,14,4,2,1
184,55,86209,35,662,0.2767838653103981,6,9,0,0,28286,18709,0.5789563504198301,10,4,8,1
185,45,32697,4,631,0.33691240347865337,0,5,0,0,7549,10801,0.23123830809119147,8,3,0,1
186,42,71336,4,821,0.22473766133803794,4,4,1,0,4885,4591,0.48210450805548366,11,4,12,0
187,29,67020,39,741,0.6530340237718656,0,2,0,1,27824,6633,0.2242521979252987,14,1,4,0
188,39,99238,22,599,0.7140030356112561,7,14,1,1,32349,3144,0.5724233364140126,19,0,13,1
189,32,65533,18,630,0.2519328465933111,6,1,0,0,52246,-3000,0.4763151835174629,13,0,1,0
190,35,52646,6,635,0.16958111382952662,1,12,0,0,29985,12215,0.1845788568553351,14,4,13,1
191,54,57334,11,660,0.16293960130786386,1,10,0,1,1863,10959,0.693122194726944,0,0,13,0
192,51,101822,27,600,0.337353836323143,5,1,0,1,50596,-3000,0.3333710368399592,7,0,7,0
193,50,83407,32,680,0.24063765523008832,7,13,1,0,35824,6585,0.17112744807703453,5,3,7,0
194,38,60359,36,751,0.373495784437326,2,2,1,1,0,7357,0.31523736406812397,16,1,13,1
195,68,64088,16,558,0.23623423751992179,7,2,0,1,4545,2747,0.059558754791124456,5,2,12,0
196,25,30820,18,571,0.26210853596758016,3,8,1,0,12626,19680,0.40930889224922923,5,0,8,0
197,37,79711,6,616,0.41653601967474546,3,1,1,0,32571,18921,0.2092563689243583,13,2,4,1
198,26,26004,3,619,0.4017223293974147,2,1,0,0,0,2357,0.36142639514907265,10,4,1,0
199,37,88794,17,789,0.3582889931993938,2,9,0,1,18213,3440,0.20449314234417143,8,2,13,0
200,68,73215,23,720,0.6201064872448602,2,14,1,0,31715,2618,0.5041021478721318,4,1,14,1
201,38,129673,4,716,0.24502180028842738,1,0,0,1,0,720,0.16593237174500397,17,0,13,0
202,65,42496,16,631,0.27246195326918504,3,9,0,0,31201,-1445,0.3418373855701235,19,3,0,0
203,45,67433,25,629,0.09556836430846179,2,9,0,1,33004,8547,0.8438248224041958,1,3,6,1
204,55,114957,32,548,0.30143549860176233,0,0,0,0,7300,18730,0.4558333585564764,18,3,4,0
205,43,99784,37,704,0.22112013535082292,2,2,0,1,2700,15850,0.25726820100090925,16,0,6,0
206,34,52594,13,684,0.12718193821563298,0,6,1,1,7065,10524,0.16930906835852993,17,1,0,0
207,58,75599,15,740,0.4203275211766985,1,10,1,1,0,-3000,0.30029751633992835,8,0,8,0
208,68,70049,34,635,0.34280410347808044,5,3,0,0,15107,-3000,0.6310438430158083,8,3,8,0
209,33,77048,27,640,0.7825201300352898,0,6,0,1,23293,12449,0.5930873043041688,12,1,3,1
210,59,52532,10,661,0.5859390023447821,2,7,0,0,1709,16335,0.8504437971824137,14,1,8,1
211,33,67766,27,712,0.03949656612967391,5,10,0,0,34580,8876,0.22849940572630856,18,2,8,0
212,56,30048,6,547,0.38645668928496735,0,3,0,1,21538,2860,0.1726892007405177,5,0,9,0
213,59,73378,17,701,0.2454546923864548,5,10,1,1,23900,14466,0.5027953037684786,19,3,3,0
214,43,81250,12,648,0.05473598925461194,0,12,0,1,13970,10275,0.14400171387353444,7,2,2,0
215,57,64314,39,575,0.16060231127039706,0,8,1,1,31145,12962,0.6337167003754257,13,2,4,1
216,34,29623,1,504,0.24304476962213425,1,10,1,0,39358,-3000,0.7087611129311512,16,3,0,1
217,24,94713,34,640,0.6130223193603329,6,2,0,1,13887,7403,0.3138222834181634,13,3,10,1
218,25,79113,11,751,0.23218141635308556,0,13,1,1,31415,17421,0.3337408327506321,1,0,3,0
219,42,51849,1,767,0.1826949789604272,0,4,1,1,31580,8692,0.39905479222606116,17,0,4,0
220,65,62984,26,674,0.05476574733851564,7,2,0,0,26268,11637,0.43111611076618034,0,4,0,0
221,27,32483,27,787,0.13025632589507186,4,8,0,1,45155,5254,0.5264021069272188,10,4,7,0
222,43,44364,5,646,0.24284187986141992,4,5,0,1,9102,5742,0.19537636781867837,13,1,0,0
223,55,56554,1,716,0.378525598350105,0,6,0,1,13676,14817,0.6219811678503023,5,0,7,1
224,30,100710,4,618,0.08928658229878327,3,12,1,1,8345,311,0.6757803709327713,15,3,3,1
225,56,54012,16,613,0.28029172542921255,4,8,1,0,30875,-373,0.31915526583002846,11,4,9,1
226,35,86005,5,602,0.4139331632024584,4,5,1,0,15912,1652,0.4412730778336967,7,0,14,0
227,60,56542,28,505,0.10024829965002509,4,12,1,1,9563,5164,0.5205724443869176,3,0,8,1
228,49,76198,3,740,0.37610305070592087,0,5,0,0,44947,-3000,0.748536710779419,13,1,12,0
229,47,66465,31,605,0.2757686591750084,7,14,1,1,47142,10117,0.46325303163847753,2,3,2,1
230,29,91826,34,593,0.23665845333827434,5,14,0,0,15069,3850,0.1104739361688759,18,2,5,0
231,43,56629,28,567,0.1773082490307237,1,7,0,0,0,10975,0.8611503340268454,2,2,12,0
232,62,30686,37,635,0.1802333239557305,7,11,1,1,47952,-3000,0.2795170065183506,1,2,5,0
233,21,35451,37,773,0.5413229128319961,2,10,1,0,27060,11002,0.20281077315863788,4,4,13,0
234,58,56703,1,796,0.3297648510465622,1,12,0,0,26310,14358,0.4200455574208187,16,1,13,0
235,45,38773,13,533,0.6086222447154348,7,6,1,1,21575,8069,0.42895859792586005,16,0,11,1
236,56,80255,30,625,0.3495955686110265,1,6,1,1,7995,5210,0.17278207675358667,11,2,9,1
237,53,58355,13,577,0.14883937426044813,0,4,1,0,13800,11056,0.18880193335628237,15,2,5,0
238,42,129365,29,719,0.46264143080604053,5,8,1,0,30165,13899,0.5955627565655035,8,1,12,1
239,36,26557,30,670,0.40649738514999184,2,9,0,0,13286,8660,0.6237988612726382,19,4,14,1
240,51,75090,39,605,0.570610015435897,1,6,0,1,26494,9183,0.1277762497097268,1,0,12,1
241,27,41801,13,655,0.29872796727188006,0,4,1,1,20200,16598,0.10514285029388366,12,0,5,0
242,49,57664,13,616,0.5544867135367606,1,6,0,0,4146,10328,0.5079400099869835,7,0,2,0
243,25,73535,0,762,0.16770018648058552,7,7,0,0,44316,-601,0.2335230715092729,7,4,13,0
244,52,15000,11,688,0.13835708814309497,5,1,1,1,28910,13866,0.16269417702563657,15,4,0,0
245,51,75920,11,696,0.3914012299335162,6,9,1,0,24959,4133,0.4847356742861987,15,4,11,1
246,25,117572,18,463,0.18869889521158234,4,12,0,0,28325,5232,0.29437061345327825,10,0,4,1
247,58,58664,16,645,0.5417061427023525,4,4,1,1,0,5748,0.24556159843659484,17,0,11,1
248,41,76495,34,795,0.09838268194740662,1,5,1,0,12602,11782,0.3366328929805326,3,1,8,0
249,59,95623,30,742,0.09603869592885188,7,1,0,1,0,17241,0.3960051225943955,1,2,1,0
250,23,65901,29,520,0.21119496354774225,6,8,0,0,21870,5170,0.2874237339584696,4,1,13,0
251,29,55475,0,628,0.0813286244199127,4,6,0,0,24888,17118,0.39125652257944515,1,3,14,0
252,45,15000,18,565,0.30331136285386184,0,12,1,1,22120,6152,0.5845589387066277,16,3,4,1
253,30,86024,29,769,0.1915102301431076,6,13,1,1,37678,14815,0.8093156907981872,10,3,2,0
254,37,67170,9,667,0.08216483453979838,2,11,1,0,0,6389,0.4841219245162053,8,1,12,1
255,53,44682,16,596,0.019319663460921593,1,3,0,0,8011,1553,0.506021436108169,9,0,6,0
256,28,73164,29,652,0.18124280108086188,5,2,1,0,26215,18454,0.4245238697244569,1,1,9,0
257,54,55407,31,467,0.0061471149847966335,6,7,1,0,23959,884,0.5794419925489309,12,0,12,0
258,26,56789,34,574,0.1531788943787405,4,9,0,0,268,416,0.4749280152722204,19,4,9,0
259,29,85157,17,652,0.3726029833805014,0,0,1,1,37947,-3000,0.16927753165221607,2,4,7,0
260,49,36540,15,709,0.38032886113859676,4,7,1,0,43148,13870,0.7074555231160322,5,4,10,1
261,59,96182,15,514,0.47355978313234387,7,1,1,0,26383,15524,0.20080383645451136,15,3,1,0
262,29,35057,26,623,0.25236972836121613,5,3,1,1,0,7611,0.30922388674630075,15,0,7,0
263,35,53432,16,720,0.40487032845202103,2,5,0,1,22395,-1887,0.6168675573069831,5,2,9,0
264,66,118073,16,548,0.09060101674729135,5,0,0,0,25105,4952,0.7002059821594978,0,3,10,0
265,69,98183,6,666,0.31274322376476804,1,3,0,0,15922,2881,0.40179870924933947,14,0,3,0
266,49,72440,19,654,0.38650596876105614,6,9,1,1,40208,-2213,0.3802179655169907,5,4,11,1
267,42,46486,9,770,0.1779734521562002,6,14,1,0,18260,1577,0.4016447314738514,16,4,4,0
268,37,56768,20,633,0.4145335114062146,4,11,1,1,51568,8540,0.22754954542341962,6,4,8,1
269,51,71831,35,637,0.2371026404762218,1,4,0,1,31746,763,0.18753860444789813,19,1,10,0
270,49,70938,31,709,0.2573231455158791,3,14,0,1,24141,7042,0.45002947582095193,17,1,0,0
